Timestamp	ID	Payload	Payload Length	Type	Name
0,604068	349	03  64  00  1F  00  00  28  1E	8	S	
0,614110	349	03  64  00  1F  00  00  19  1E	8	S	
0,624069	349	03  64  00  1F  00  00  0A  1E	8	S	
0,634068	349	03  64  00  1F  00  00  FB  1E	8	S	
0,644122	349	03  64  00  1F  00  00  EC  1E	8	S	
0,649086	489	FF  03  11  46  40  01  00  3F	8	S	
0,654068	349	03  64  00  1F  00  00  DD  1E	8	S	
0,664069	349	03  64  00  1F  00  00  CE  1E	8	S	
0,669107	C9	00  00  00  00  00  00  00  00	8	S	
0,669355	E9	00  00  00  00  00  00  00  00	8	S	
0,674058	A9	00  00  00  00  00	5	S	
0,674296	349	03  64  00  1F  00  00  BF  1E	8	S	
0,684069	349	03  64  00  1F  00  00  A0  1E	8	S	
0,694069	349	03  64  00  1F  00  00  91  1E	8	S	
0,694253	4E9	03  3C  02  00  00	5	S	
0,704114	349	03  64  00  1F  00  00  82  1E	8	S	
0,709094	489	FF  03  11  46  40  01  00  3F	8	S	
0,714068	349	03  64  00  1F  00  00  73  1E	8	S	
0,724073	349	03  64  00  1F  00  00  64  1E	8	S	
0,734114	349	03  64  00  1F  00  00  55  1E	8	S	
0,744082	349	03  64  00  1F  00  00  46  1E	8	S	
0,754068	349	03  64  00  1F  00  00  37  1E	8	S	
0,764179	349	03  64  00  1F  00  00  28  1E	8	S	
0,769135	C9	00  00  00  00  00  00  00  00	8	S	
0,769383	E9	00  00  00  00  00  00  00  00	8	S	
0,769622	489	FF  03  11  46  40  01  00  3F	8	S	
0,774046	A9	00  00  00  00  00	5	S	
0,774284	349	03  64  00  1F  00  00  19  1E	8	S	
0,784087	349	03  64  00  1F  00  00  0A  1E	8	S	
0,794115	349	03  64  00  1F  00  00  FB  1E	8	S	
0,794300	4E9	03  4B  02  00  00	5	S	
0,804088	349	03  64  00  1F  00  00  EC  1E	8	S	
0,814070	349	03  64  00  1F  00  00  DD  1E	8	S	
0,824129	349	03  64  00  1F  00  00  CE  1E	8	S	
0,829101	489	FF  03  11  46  40  01  00  3F	8	S	
0,834084	349	03  64  00  1F  00  00  BF  1E	8	S	
0,844070	349	03  64  00  1F  00  00  A0  1E	8	S	
0,854103	349	03  64  00  1F  00  00  91  1E	8	S	
0,864071	349	03  64  00  1F  00  00  82  1E	8	S	
0,869109	C9	00  00  00  00  00  00  00  00	8	S	
0,869358	E9	00  00  00  00  00  00  00  00	8	S	
0,874032	A9	00  00  00  00  00	5	S	
0,874270	349	03  64  00  1F  00  00  73  1E	8	S	
0,884125	349	03  64  00  1F  00  00  64  1E	8	S	
0,889099	489	FF  03  11  46  40  01  00  3F	8	S	
0,894069	349	03  64  00  1F  00  00  55  1E	8	S	
0,894254	4E9	03  5A  02  00  00	5	S	
0,904070	349	03  64  00  1F  00  00  46  1E	8	S	
0,914114	349	03  64  00  1F  00  00  37  1E	8	S	
0,924073	349	03  64  00  1F  00  00  28  1E	8	S	
0,934073	349	03  64  00  1F  00  00  19  1E	8	S	
0,944118	349	03  64  00  1F  00  00  0A  1E	8	S	
0,949088	489	FF  03  11  46  40  01  00  3F	8	S	
0,954072	349	03  64  00  1F  00  00  FB  1E	8	S	
0,964075	349	03  64  00  1F  00  00  EC  1E	8	S	
0,969111	C9	00  00  00  00  00  00  00  00	8	S	
0,969359	E9	00  00  00  00  00  00  00  00	8	S	
0,974064	A9	00  00  00  00  00	5	S	
0,974302	349	03  64  00  1F  00  00  DD  1E	8	S	
0,984073	349	03  64  00  1F  00  00  CE  1E	8	S	
0,994075	349	03  64  00  1F  00  00  BF  1E	8	S	
0,994259	4E9	03  69  02  00  00	5	S	
1,004126	349	03  64  00  1F  00  00  A0  1E	8	S	
1,009086	489	FF  03  11  46  40  01  00  3F	8	S	
1,014074	349	03  64  00  1F  00  00  91  1E	8	S	
1,024075	349	03  64  00  1F  00  00  82  1E	8	S	
1,034103	349	03  64  00  1F  00  00  73  1E	8	S	
1,044076	349	03  64  00  1F  00  00  64  1E	8	S	
1,054072	349	03  64  00  1F  00  00  55  1E	8	S	
1,064157	349	03  64  00  1F  00  00  46  1E	8	S	
1,069125	C9	00  00  00  00  00  00  00  00	8	S	
1,069373	E9	00  00  00  00  00  00  00  00	8	S	
1,069612	489	FF  03  11  46  40  01  00  3F	8	S	
1,074034	A9	00  00  00  00  00	5	S	
1,074270	349	03  64  00  1F  00  00  37  1E	8	S	
1,084074	349	03  64  00  1F  00  00  28  1E	8	S	
1,094119	349	03  64  00  1F  00  00  19  1E	8	S	
1,094307	4E9	03  78  02  00  00	5	S	
1,104090	349	03  64  00  1F  00  00  0A  1E	8	S	
1,114090	349	03  64  00  1F  00  00  FB  1E	8	S	
1,124143	349	03  64  00  1F  00  00  EC  1E	8	S	
1,129105	489	FF  03  11  46  40  01  00  3F	8	S	
1,134089	349	03  64  00  1F  00  00  DD  1E	8	S	
1,144090	349	03  64  00  1F  00  00  CE  1E	8	S	
1,154120	349	03  64  00  1F  00  00  BF  1E	8	S	
1,164097	349	03  64  00  1F  00  00  A0  1E	8	S	
1,169131	C9	00  00  00  00  00  00  00  00	8	S	
1,169379	E9	00  00  00  00  00  00  00  00	8	S	
1,174052	A9	00  00  00  00  00	5	S	
1,174290	349	03  64  00  1F  00  00  91  1E	8	S	
1,184136	349	03  64  00  1F  00  00  82  1E	8	S	
1,189101	489	FF  03  11  46  40  01  00  3F	8	S	
1,194093	349	03  64  00  1F  00  00  73  1E	8	S	
1,194280	4E9	03  87  02  00  00	5	S	
1,204096	349	03  64  00  1F  00  00  64  1E	8	S	
1,214120	349	03  64  00  1F  00  00  55  1E	8	S	
1,224075	349	03  64  00  1F  00  00  46  1E	8	S	
1,234075	349	03  64  00  1F  00  00  37  1E	8	S	
1,244126	349	03  64  00  1F  00  00  28  1E	8	S	
1,249094	489	FF  03  11  46  40  01  00  3F	8	S	
1,254076	349	03  64  00  1F  00  00  19  1E	8	S	
1,264077	349	03  64  00  1F  00  00  0A  1E	8	S	
1,269115	C9	00  00  00  00  00  00  00  00	8	S	
1,269363	E9	00  00  00  00  00  00  00  00	8	S	
1,274068	A9	00  00  00  00  00	5	S	
1,274306	349	03  64  00  1F  00  00  FB  1E	8	S	
1,284081	349	03  64  00  1F  00  00  EC  1E	8	S	
1,294077	349	03  64  00  1F  00  00  DD  1E	8	S	
1,294261	4E9	03  96  02  00  00	5	S	
1,304124	349	03  64  00  1F  00  00  CE  1E	8	S	
1,309092	489	FF  03  11  46  40  01  00  3F	8	S	
1,314076	349	03  64  00  1F  00  00  BF  1E	8	S	
1,324079	349	03  64  00  1F  00  00  A0  1E	8	S	
1,334107	349	03  64  00  1F  00  00  91  1E	8	S	
1,344078	349	03  64  00  1F  00  00  82  1E	8	S	
1,354078	349	03  64  00  1F  00  00  73  1E	8	S	
1,364182	349	03  64  00  1F  00  00  64  1E	8	S	
1,369129	C9	00  00  00  00  00  00  00  00	8	S	
1,369377	E9	00  00  00  00  00  00  00  00	8	S	
1,369616	489	FF  03  11  46  40  01  00  3F	8	S	
1,374038	A9	00  00  00  00  00	5	S	
1,374274	349	03  64  00  1F  00  00  55  1E	8	S	
1,384099	349	03  64  00  1F  00  00  46  1E	8	S	
1,384343	789	C8  00  00  00  00  00  00  00	8	S	
1,394121	349	03  64  00  1F  00  00  37  1E	8	S	
1,394310	4E9	03  A5  02  00  00	5	S	
1,404080	349	03  64  00  1F  00  00  28  1E	8	S	
1,414079	349	03  64  00  1F  00  00  19  1E	8	S	
1,424139	349	03  64  00  1F  00  00  0A  1E	8	S	
1,429109	489	FF  03  11  46  40  01  00  3F	8	S	
1,434092	349	03  64  00  1F  00  00  FB  1E	8	S	
1,444096	349	03  64  00  1F  00  00  EC  1E	8	S	
1,454124	349	03  64  00  1F  00  00  DD  1E	8	S	
1,464095	349	03  64  00  1F  00  00  CE  1E	8	S	
1,469133	C9	00  00  00  00  00  00  00  00	8	S	
1,469382	E9	00  00  00  00  00  00  00  00	8	S	
1,474054	A9	00  00  00  00  00	5	S	
1,474292	349	03  64  00  1F  00  00  BF  1E	8	S	
1,484147	349	03  64  00  1F  00  00  A0  1E	8	S	
1,489117	489	FF  03  11  46  40  01  00  3F	8	S	
1,494081	349	03  64  00  1F  00  00  91  1E	8	S	
1,494266	4E9	03  B4  02  00  00	5	S	
1,504080	349	03  64  00  1F  00  00  82  1E	8	S	
1,514124	349	03  64  00  1F  00  00  73  1E	8	S	
1,524081	349	03  64  00  1F  00  00  64  1E	8	S	
1,534080	349	03  64  00  1F  00  00  55  1E	8	S	
1,544124	349	03  64  00  1F  00  00  46  1E	8	S	
1,549096	489	FF  03  11  46  40  01  00  3F	8	S	
1,554080	349	03  64  00  1F  00  00  37  1E	8	S	
1,564087	349	03  64  00  1F  00  00  28  1E	8	S	
1,569119	C9	00  00  00  00  00  00  00  00	8	S	
1,569368	E9	00  00  00  00  00  00  00  00	8	S	
1,574072	A9	00  00  00  00  00	5	S	
1,574310	349	03  64  00  1F  00  00  19  1E	8	S	
